file,tag,android:id,android:text,android:hint,android:inputType,android:contentDescription,android:checked,android:enabled,android:maxLength,android:autofillHints
res/layout/activity_schools.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A1096,@7F13005F,,,,,false,,
res/layout/activity_score_trophy_rive_testing.xml,Spinner,@7F0A0989,,,,,,,,
res/layout/activity_score_trophy_rive_testing.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0F9C,@7F13041B,,,,,,,
res/layout/activity_sdui_widget_debug.xml,EditText,@7F0A0950,,@7F130E96,0x000A0001,,,,,
res/layout/activity_sdui_widget_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A1332,@7F130E98,,,,,,,
res/layout/activity_session_debug_header.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A1086,@7F130EE6,,,,,,,
res/layout/activity_session_debug_header.xml,Spinner,@7F0A02A4,,,,,,,,
res/layout/activity_session_end_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0368,@7F130413,,,,,false,,
res/layout/activity_session_end_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A1082,@7F130419,,,,,,,
res/layout/activity_session_end_streak_slides_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0EC4,@7F130411,,,,,,,
res/layout/activity_session_end_streak_slides_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0FE0,@7F13041D,,,,,,,
res/layout/activity_smec_intro.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A03F1,@7F130164,,,,,false,,
res/layout/activity_stories_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A1097,@7F130FFD,,,,,,,
res/layout/activity_stories_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0369,@7F130FF9,,,,,,,
res/layout/activity_stories_onboarding.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A1082,@7F1309B6,,,,,,,
res/layout/activity_stories_session.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A10D7,@7F130164,,,,,,,
